    271 ascii with confidence 1.0
      1 ./books/renan/01/15.html: windows-1251 with confidence 0.9754368975032921
      1 ./books/renan/01/16.html: windows-1251 with confidence 0.9847813129189483
      1 ./books/renan/01/17.html: windows-1251 with confidence 0.9830773904909794
      1 ./books/renan/01/18.html: windows-1251 with confidence 0.9752325903114276
      1 ./books/renan/01/19.html: windows-1251 with confidence 0.9896848968384205
      1 ./books/renan/01/20.html: windows-1251 with confidence 0.9810473491368272
      1 ./books/renan/01/21.html: windows-1251 with confidence 0.9816706620373096
      1 ./books/renan/01/22.html: windows-1251 with confidence 0.985731306555871
      1 ./books/renan/01/23.html: windows-1251 with confidence 0.9860737756362437
      1 ./books/renan/01/24.html: windows-1251 with confidence 0.9855230200584125
      1 ./books/renan/01/25.html: windows-1251 with confidence 0.9831177989937544
      1 ./books/renan/01/26.html: MacCyrillic with confidence 0.9853163426096615
      1 ./books/renan/01/27.html: windows-1251 with confidence 0.9812982043854674
      1 ./books/renan/01/28.html: windows-1251 with confidence 0.9909201105926214
      1 ./books/renan/01/29.html: windows-1251 with confidence 0.9888623495863534
      1 ./books/renan/01/index.html: MacCyrillic with confidence 0.839311173291386
      1 ./books/renan/01/nav.html: MacCyrillic with confidence 0.8397810200264737
      1 ./books/renan/01/title.html: MacCyrillic with confidence 0.8328205002179326
      1 ./books/renan/02/00.html: windows-1251 with confidence 0.9910885243099006
      1 ./books/renan/02/01.html: MacCyrillic with confidence 0.9883263717277768
      1 ./books/renan/02/02.html: windows-1251 with confidence 0.9863645726834247
      1 ./books/renan/02/03.html: windows-1251 with confidence 0.9768541128221613
      1 ./books/renan/02/04.html: MacCyrillic with confidence 0.9814475969735083
      1 ./books/renan/02/05.html: MacCyrillic with confidence 0.9864563122413309
      1 ./books/renan/02/06.html: windows-1251 with confidence 0.9813137575583958
      1 ./books/renan/02/07.html: windows-1251 with confidence 0.9937141631804156
      1 ./books/renan/02/08.html: windows-1251 with confidence 0.9830430261882819
      1 ./books/renan/02/09.html: windows-1251 with confidence 0.9792818944699698
      1 ./books/renan/02/0.html: windows-1251 with confidence 0.8916920439684705
      1 ./books/renan/02/10.html: windows-1251 with confidence 0.9881701395935718
      1 ./books/renan/02/11.html: windows-1251 with confidence 0.9869472034498077
      1 ./books/renan/02/12.html: windows-1251 with confidence 0.9759548841254446
      1 ./books/renan/02/13.html: windows-1251 with confidence 0.983351248017112
      1 ./books/renan/02/14.html: windows-1251 with confidence 0.9798882012597955
      1 ./books/renan/02/15.html: windows-1251 with confidence 0.9815450133705773
      1 ./books/renan/02/16.html: windows-1251 with confidence 0.9839630215496091
      1 ./books/renan/02/17.html: MacCyrillic with confidence 0.9816856831816216
      1 ./books/renan/02/18.html: MacCyrillic with confidence 0.9786359493886356
      1 ./books/renan/02/19.html: windows-1251 with confidence 0.9953631946979582
      1 ./books/renan/02/index.html: windows-1251 with confidence 0.8559387615630655
      1 ./books/renan/02/nav.html: MacCyrillic with confidence 0.8348282642011002
      1 ./books/renan/02/title.html: windows-1251 with confidence 0.837016973181349
      1 ISO-8859-1 with confidence 0.7284575913069725
      7 ISO-8859-1 with confidence 0.73
      1 MacCyrillic with confidence 0.6800180203124098
      1 MacCyrillic with confidence 0.790557068372254
      1 MacCyrillic with confidence 0.8191677051323929
      1 MacCyrillic with confidence 0.8838750006189691
      1 MacCyrillic with confidence 0.8888927509561512
      3 MacCyrillic with confidence 0.8959646774885547
      1 MacCyrillic with confidence 0.8962658420860298
      1 MacCyrillic with confidence 0.9078105383155182
      1 MacCyrillic with confidence 0.9112583816834419
      1 MacCyrillic with confidence 0.9203436801476845
      1 MacCyrillic with confidence 0.920377960158036
      1 MacCyrillic with confidence 0.9291485544325752
      1 MacCyrillic with confidence 0.933823700500644
      1 MacCyrillic with confidence 0.9388889548974856
      1 MacCyrillic with confidence 0.9425092888995588
      1 MacCyrillic with confidence 0.9458197289322382
      1 MacCyrillic with confidence 0.95133854296847
      1 MacCyrillic with confidence 0.9530474282994066
      1 MacCyrillic with confidence 0.9540617979558017
      1 MacCyrillic with confidence 0.9543095854207317
      1 MacCyrillic with confidence 0.9565290816832838
      1 MacCyrillic with confidence 0.9569129891088931
      1 MacCyrillic with confidence 0.9571756298959548
      1 MacCyrillic with confidence 0.9575355839005363
      1 MacCyrillic with confidence 0.957703025140804
      1 MacCyrillic with confidence 0.9577064121676555
      1 MacCyrillic with confidence 0.9582765631919172
      1 MacCyrillic with confidence 0.9586926137670118
      1 MacCyrillic with confidence 0.9608071961801552
      1 MacCyrillic with confidence 0.9616316538510699
      1 MacCyrillic with confidence 0.9624200302058046
      1 MacCyrillic with confidence 0.9642751665868027
      1 MacCyrillic with confidence 0.9681333413502945
      1 MacCyrillic with confidence 0.9684024526369299
      1 MacCyrillic with confidence 0.9693006337610838
      1 MacCyrillic with confidence 0.9713663170136472
      1 MacCyrillic with confidence 0.9768678763863964
      1 MacCyrillic with confidence 0.9771524141151517
      1 MacCyrillic with confidence 0.9775661579227389
      1 MacCyrillic with confidence 0.9777511443226458
      1 MacCyrillic with confidence 0.9796191147174893
      1 MacCyrillic with confidence 0.9815061041934889
      1 MacCyrillic with confidence 0.9848203220368463
      1 MacCyrillic with confidence 0.9874123123559205
      1 MacCyrillic with confidence 0.9899666235319577
      1 MacCyrillic with confidence 0.9901631051193504
      1 MacCyrillic with confidence 0.9918844784816937
      1 MacCyrillic with confidence 0.9920578705628081
      1 MacCyrillic with confidence 0.9928298978546751
      1 MacCyrillic with confidence 0.9928567830675902
      1 MacCyrillic with confidence 0.9934261701288405
      1 MacCyrillic with confidence 0.9944497586692056
      1 MacCyrillic with confidence 0.9946776310618092
      1 MacCyrillic with confidence 0.9954456450947338
      1 MacCyrillic with confidence 0.9978425202308282
      1 MacCyrillic with confidence 0.9991484401180826
      1 MacCyrillic with confidence 0.999194090121115
      1 windows-1251 with confidence 0.8126663741392786
      1 windows-1251 with confidence 0.8405421282771208
      1 windows-1251 with confidence 0.8443996154847042
      1 windows-1251 with confidence 0.866013101861276
      1 windows-1251 with confidence 0.8818297548127272
      1 windows-1251 with confidence 0.8819573420078258
      1 windows-1251 with confidence 0.8840621525984712
      2 windows-1251 with confidence 0.8842066544213869
      1 windows-1251 with confidence 0.8846671791592823
      1 windows-1251 with confidence 0.8871867253863472
      1 windows-1251 with confidence 0.8880636534298856
      1 windows-1251 with confidence 0.8900414209511198
      1 windows-1251 with confidence 0.8929880506530445
      1 windows-1251 with confidence 0.893322186941195
      1 windows-1251 with confidence 0.893918414540294
      1 windows-1251 with confidence 0.8947329241168795
      1 windows-1251 with confidence 0.8950560369569883
      1 windows-1251 with confidence 0.895160553823259
      4 windows-1251 with confidence 0.8970212436158997
      1 windows-1251 with confidence 0.8982628652416432
      1 windows-1251 with confidence 0.8991083033721758
      1 windows-1251 with confidence 0.9013461145758427
      1 windows-1251 with confidence 0.9049778570342933
      1 windows-1251 with confidence 0.9052104102182728
      1 windows-1251 with confidence 0.908087955954014
      1 windows-1251 with confidence 0.910186339035992
      1 windows-1251 with confidence 0.9130561227866935
      1 windows-1251 with confidence 0.9134185348422279
      1 windows-1251 with confidence 0.9136935219242983
      1 windows-1251 with confidence 0.9138892865756388
      1 windows-1251 with confidence 0.9148171733525869
      1 windows-1251 with confidence 0.9159770004195041
      1 windows-1251 with confidence 0.9210485983556115
      1 windows-1251 with confidence 0.9226888986381349
      1 windows-1251 with confidence 0.924853498415036
      1 windows-1251 with confidence 0.9257717326282133
      1 windows-1251 with confidence 0.9271674274508426
      1 windows-1251 with confidence 0.9278999072275899
      1 windows-1251 with confidence 0.9296363504655892
      1 windows-1251 with confidence 0.9319439767898983
      1 windows-1251 with confidence 0.9333292463336862
      1 windows-1251 with confidence 0.9333783556146641
      1 windows-1251 with confidence 0.9350443693037818
      1 windows-1251 with confidence 0.9359269029227565
      1 windows-1251 with confidence 0.9361892396698734
      1 windows-1251 with confidence 0.9404451267366654
      1 windows-1251 with confidence 0.9426804261859956
      1 windows-1251 with confidence 0.9435659822706549
      1 windows-1251 with confidence 0.944463700500474
      1 windows-1251 with confidence 0.9448347940880854
      1 windows-1251 with confidence 0.9479020522358003
      1 windows-1251 with confidence 0.9500012043244433
      1 windows-1251 with confidence 0.9506155357369964
      1 windows-1251 with confidence 0.9511083164675682
      1 windows-1251 with confidence 0.9512001351919572
      1 windows-1251 with confidence 0.9521028151758073
